data,A,B,C,D
2017-01-21|00:52:56.000,5023.17285,-4.21577,118.43916,48.7895
2017-01-21|00:53:06.000,5009.42773,-4.20525,118.44976,48.50707
2017-01-21|00:53:16.000,5004.36621,-4.21991,118.45811,48.25278
2017-01-21|00:53:26.000,4999.30469,-4.1878,118.44416,48.44178
2017-01-21|00:53:36.000,5017.94971,-4.20815,118.43478,48.48467
2017-01-21|00:53:46.000,5047.15674,-4.20801,118.44459,48.14336
2017-01-21|00:53:56.000,5023.46875,-4.22743,118.4544,47.91064
2017-01-21|00:54:06.000,4976.20459,-4.18717,118.4289,47.69115
2017-01-21|00:54:16.000,4944.04248,-4.15324,118.4187,47.36329
2017-01-21|00:54:26.000,4975.64014,-4.13321,118.40851,46.91899
2017-01-21|00:54:36.000,5001.40039,-4.14184,118.40695,46.96049
2017-01-21|00:54:46.000,4969.20361,-4.09257,118.43027,47.97436
2017-01-21|00:54:56.000,4923.18848,-4.05131,118.40694,48.32224
2017-01-21|00:55:06.000,4873.53076,-4.06782,118.39728,48.44481
2017-01-21|00:55:16.000,4885.74316,-4.07424,118.39088,48.61032
2017-01-21|00:55:26.000,4909.19775,-4.08338,118.39925,48.7924
2017-01-21|00:55:36.000,4882.07764,-4.10257,118.38718,48.977
2017-01-21|00:55:46.000,4854.95752,-4.11097,118.37688,49.03701
2017-01-21|00:55:56.000,4901.17432,-4.10257,118.36931,49.08375
2017-01-21|00:56:06.000,4967.67871,-4.07995,118.36174,49.12796
2017-01-21|00:56:16.000,4898.52148,-4.12586,118.35416,49.17218
2017-01-21|00:56:26.000,4879.58887,-4.1341,118.37301,49.2164
2017-01-21|00:56:36.000,4895.41504,-4.12036,118.34774,49.26387
2017-01-21|00:56:46.000,4925.98291,-4.1293,118.33826,49.34018
2017-01-21|00:56:56.000,4956.68604,-4.09715,118.32877,49.47976
2017-01-21|00:57:06.000,4937.92773,-4.11383,118.34161,49.56933
2017-01-21|00:57:16.000,4918.71045,-4.1518,118.30753,49.62863
2017-01-21|00:57:26.000,4924.36865,-4.1405,118.31339,49.64719
2017-01-21|00:57:36.000,4968.82129,-4.11837,118.31078,49.66576
2017-01-21|00:57:46.000,4986.11133,-4.11986,118.28025,49.70277
2017-01-21|00:57:56.000,4937.09424,-4.14353,118.29681,49.68993
2017-01-21|00:58:06.000,4953.32324,-4.15722,118.26888,49.59851
2017-01-21|00:58:16.000,4998.79736,-4.17122,118.26058,49.32227
2017-01-21|00:58:26.000,5018.08545,-4.1432,118.25229,48.83786
2017-01-21|00:58:36.000,4926.02686,-4.12668,118.25587,48.43052
2017-01-21|00:58:46.000,4903.35938,-4.12801,118.24828,47.94153
2017-01-21|00:58:56.000,4889.23389,-4.12119,118.25982,47.87577
2017-01-21|00:59:06.000,4875.1084,-4.12824,118.27136,49.07129
2017-01-21|00:59:16.000,4940.38623,-4.13506,118.27326,49.34737
2017-01-21|00:59:26.000,4944.06738,-4.12829,118.24589,49.34724
2017-01-21|00:59:36.000,4919.74854,-4.11287,118.24245,47.7719
2017-01-21|00:59:46.000,4895.4292,-4.12197,118.23901,47.27908
2017-01-21|00:59:56.000,4896.31885,-4.10111,118.23557,47.63783
2017-01-21|01:00:06.000,4936.63721,-4.11241,118.23212,47.91805
2017-01-21|01:00:16.000,4934.15723,-4.0842,118.22868,47.92281
2017-01-21|01:00:26.000,4912.44873,-4.09712,118.22523,47.95175
2017-01-21|01:00:36.000,4890.74023,-4.11021,118.22179,47.48211
2017-01-21|01:00:46.000,4873.58008,-4.12467,118.24364,46.87701
2017-01-21|01:00:56.000,4857.63086,-4.11931,118.2247,46.36942
2017-01-21|01:01:06.000,4842.27051,-4.08632,118.23504,46.10948
2017-01-21|01:01:16.000,4827.17578,-4.05461,118.24586,46.25804
2017-01-21|01:01:26.000,4819.13965,-4.04106,118.23535,47.44746
2017-01-21|01:01:36.000,4882.8291,-4.05035,118.23862,48.43237
2017-01-21|01:01:46.000,4897.87646,-4.07201,118.22529,48.5368
2017-01-21|01:01:56.000,4862.19434,-4.05109,118.24426,48.62161
2017-01-21|01:02:06.000,4833.75391,-4.04019,118.21114,48.70956
2017-01-21|01:02:16.000,4812.86572,-4.03665,118.22015,48.6739
2017-01-21|01:02:26.000,4791.97705,-4.07642,118.17466,47.64499
2017-01-21|01:02:36.000,4779.66357,-4.0469,118.19064,47.37929
