data,A,B,C,D
2017-01-21|19:37:30.000,5933.42285,-4.66521,126.19676,59.65983
2017-01-21|19:37:40.000,5958.71777,-4.66236,126.21056,59.63811
2017-01-21|19:37:50.000,5961.21729,-4.69063,126.19849,59.60971
2017-01-21|19:38:00.000,5936.94336,-4.67233,126.1864,59.59086
2017-01-21|19:38:10.000,5950.7041,-4.6712,126.19453,59.61035
2017-01-21|19:38:20.000,5964.46533,-4.66231,126.19984,59.62048
2017-01-21|19:38:30.000,5966.91455,-4.65725,126.20486,59.54134
2017-01-21|19:38:40.000,5921.01416,-4.66135,126.17651,59.48798
2017-01-21|19:38:50.000,5889.5,-4.70565,126.19846,59.44783
2017-01-21|19:39:00.000,5919.51709,-4.66258,126.20698,59.42703
2017-01-21|19:39:10.000,5931.62695,-4.67574,126.19808,59.34996
2017-01-21|19:39:20.000,5925.06201,-4.67935,126.21191,59.28183
2017-01-21|19:39:30.000,5918.49658,-4.71765,126.20866,59.19171
2017-01-21|19:39:40.000,5922.60645,-4.66454,126.18652,59.0774
2017-01-21|19:39:50.000,5934.15576,-4.64994,126.19419,58.98299
2017-01-21|19:40:00.000,5945.70508,-4.67287,126.17906,58.88986
2017-01-21|19:40:10.000,5945.40039,-4.65743,126.1643,58.75636
2017-01-21|19:40:20.000,5894.29736,-4.649,126.16029,58.67961
2017-01-21|19:40:30.000,5863.89404,-4.64493,126.17447,58.70139
2017-01-21|19:40:40.000,5855.11328,-4.65772,126.17448,58.6783
2017-01-21|19:40:50.000,5893.98975,-4.62014,126.16594,58.62699
2017-01-21|19:41:00.000,5966.12158,-4.64187,126.20783,58.63492
2017-01-21|19:41:10.000,5883.02295,-4.63956,126.16444,58.62363
2017-01-21|19:41:20.000,5848.99023,-4.62103,126.17827,58.62545
2017-01-21|19:41:30.000,5878.20654,-4.64902,126.16579,58.58909
2017-01-21|19:41:40.000,5939.91357,-4.65647,126.18142,58.5746
2017-01-21|19:41:50.000,5961.78467,-4.62974,126.1655,58.53598
2017-01-21|19:42:00.000,5875.4917,-4.61014,126.17535,58.51742
2017-01-21|19:42:10.000,5883.63867,-4.63195,126.18519,58.49886
2017-01-21|19:42:20.000,5913.06006,-4.63783,126.19503,58.48029
2017-01-21|19:42:30.000,5872.14209,-4.64265,126.20487,58.45761
2017-01-21|19:42:40.000,5831.22363,-4.62274,126.15878,58.41872
2017-01-21|19:42:50.000,5839.47656,-4.61855,126.14813,58.37066
2017-01-21|19:43:00.000,5897.61914,-4.61883,126.13748,58.35583
2017-01-21|19:43:10.000,5880.99463,-4.62018,126.14969,58.37403
2017-01-21|19:43:20.000,5864.37012,-4.61863,126.12816,58.38982
2017-01-21|19:43:30.000,5880.479,-4.61963,126.12098,58.40451
2017-01-21|19:43:40.000,5911.41064,-4.62248,126.1138,58.4167
2017-01-21|19:43:50.000,5915.10938,-4.6112,126.10661,58.46959
2017-01-21|19:44:00.000,5890.25781,-4.62851,126.11165,58.50649
2017-01-21|19:44:10.000,5865.40625,-4.62934,126.1298,58.49359
2017-01-21|19:44:20.000,5919.35742,-4.63443,126.13151,58.48611
2017-01-21|19:44:30.000,5974.2583,-4.61661,126.0989,58.47969
2017-01-21|19:44:40.000,5886.31787,-4.60598,126.08327,58.47355
2017-01-21|19:44:50.000,5892.90918,-4.60912,126.09654,58.4674
2017-01-21|19:45:00.000,5943.15674,-4.63846,126.07124,58.45305
2017-01-21|19:45:10.000,5926.97266,-4.62579,126.05857,58.41985
2017-01-21|19:45:20.000,5841.06299,-4.59158,126.0759,58.41055
2017-01-21|19:45:30.000,5892.71094,-4.62749,126.06759,58.39926
2017-01-21|19:45:40.000,5940.78418,-4.66087,126.05927,58.34896
2017-01-21|19:45:50.000,5898.15234,-4.65457,126.06611,58.33516
2017-01-21|19:46:00.000,5871.25586,-4.6151,126.05789,58.31659
2017-01-21|19:46:10.000,5912.49951,-4.59145,126.06831,58.30199
2017-01-21|19:46:20.000,5904.49316,-4.61104,126.05788,58.32363
2017-01-21|19:46:30.000,5861.90674,-4.61242,126.05668,58.28245
2017-01-21|19:46:40.000,5819.32031,-4.64554,126.02763,58.24694
2017-01-21|19:46:50.000,5917.13037,-4.65456,126.02385,58.23426
2017-01-21|19:47:00.000,5897.76074,-4.6281,126.01363,58.2221
2017-01-21|19:47:10.000,5836.90869,-4.61832,126.00341,58.19772
2017-01-21|19:47:20.000,5951.52344,-4.61532,126.01564,58.14637
2017-01-21|19:47:30.000,5923.88477,-4.65079,126.01907,58.08355
2017-01-21|19:47:40.000,5890.21338,-4.62086,126.01241,58.10508
2017-01-21|19:47:50.000,5908.87598,-4.60504,126.02216,58.12473
2017-01-21|19:48:00.000,5927.53857,-4.61278,126.02293,58.13254
2017-01-21|19:48:10.000,5948.53418,-4.63921,126.00964,58.2152
2017-01-21|19:48:20.000,5971.17139,-4.59503,126.02113,58.27032
2017-01-21|19:48:30.000,5949.69482,-4.60081,126.02303,58.35351
2017-01-21|19:48:40.000,5926.40332,-4.59833,125.99216,58.47413
2017-01-21|19:48:50.000,5949.4209,-4.61884,125.98193,58.58717
2017-01-21|19:49:00.000,5972.43848,-4.62368,125.99733,58.69858
2017-01-21|19:49:10.000,5948.59766,-4.61766,125.99733,58.74648
2017-01-21|19:49:20.000,5923.17773,-4.61248,125.98632,58.79105
2017-01-21|19:49:30.000,5944.12988,-4.60072,125.97105,58.85193
2017-01-21|19:49:40.000,5965.08154,-4.59027,125.94633,58.9076
2017-01-21|19:49:50.000,5915.09277,-4.57147,125.94247,58.96482
2017-01-21|19:50:00.000,5877.82129,-4.61332,125.93861,59.0094
2017-01-21|19:50:10.000,5912.13623,-4.59498,125.93475,59.04657
2017-01-21|19:50:20.000,5930.24316,-4.60888,125.9309,59.09255
2017-01-21|19:50:30.000,5907.96533,-4.57392,125.92704,59.12813
2017-01-21|19:50:40.000,5890.89014,-4.5987,125.92319,59.15796
2017-01-21|19:50:50.000,5896.52246,-4.58507,125.92736,59.18734
2017-01-21|19:51:00.000,5902.15479,-4.58108,125.93878,59.21673
2017-01-21|19:51:10.000,5907.78711,-4.59721,125.93157,59.25414
2017-01-21|19:51:20.000,5913.51611,-4.565,125.93465,59.27855
2017-01-21|19:51:30.000,5920.26611,-4.5826,125.9188,59.3033
2017-01-21|19:51:40.000,5927.01611,-4.58812,125.89982,59.33106
2017-01-21|19:51:50.000,5926.91992,-4.61421,125.9199,59.363
2017-01-21|19:52:00.000,5921.98926,-4.6156,125.91707,59.41899
2017-01-21|19:52:10.000,5917.05811,-4.58876,125.88907,59.47211
2017-01-21|19:52:20.000,5891.01074,-4.56924,125.88208,59.50919
2017-01-21|19:52:30.000,5864.66113,-4.57669,125.87509,59.54974
2017-01-21|19:52:40.000,5845.83594,-4.59426,125.8681,59.60108
2017-01-21|19:52:50.000,5907.18164,-4.6118,125.85257,59.65177
2017-01-21|19:53:00.000,5874.16943,-4.59021,125.8483,59.68133
2017-01-21|19:53:10.000,5828.99219,-4.58459,125.84354,59.74384
2017-01-21|19:53:20.000,5837.46191,-4.56857,125.85463,59.79919
2017-01-21|19:53:30.000,5921.63086,-4.58637,125.83635,59.85988
2017-01-21|19:53:40.000,5901.71387,-4.56435,125.83002,59.90794
2017-01-21|19:53:50.000,5881.79688,-4.61085,125.8237,59.97908
2017-01-21|19:54:00.000,5909.5459,-4.57126,125.81738,60.03355
2017-01-21|19:54:10.000,5959.16357,-4.58108,125.80996,60.03638
2017-01-21|19:54:20.000,5924.625,-4.59775,125.80139,60.04816
2017-01-21|19:54:30.000,5830.48389,-4.59308,125.79282,60.05598
2017-01-21|19:54:40.000,5894.07324,-4.5802,125.80461,60.05889
2017-01-21|19:54:50.000,5909.11621,-4.60631,125.76192,60.10402
2017-01-21|19:55:00.000,5875.28369,-4.57608,125.78099,60.12403
2017-01-21|19:55:10.000,5849.17578,-4.63905,125.77807,60.14405
2017-01-21|19:55:20.000,5906.11621,-4.59939,125.79149,60.13259
2017-01-21|19:55:30.000,5910.50781,-4.56895,125.75224,60.12642
2017-01-21|19:55:40.000,5859.12207,-4.56023,125.7424,60.1651
2017-01-21|19:55:50.000,5848.88135,-4.58288,125.73984,60.20317
2017-01-21|19:56:00.000,5931.33545,-4.60056,125.75406,60.16427
2017-01-21|19:56:10.000,5900.30176,-4.59742,125.74052,60.18379
2017-01-21|19:56:20.000,5869.26758,-4.62089,125.74391,60.17829
2017-01-21|19:56:30.000,5853.44482,-4.57051,125.73072,60.2072
2017-01-21|19:56:40.000,5904.7207,-4.56809,125.72606,60.26351
2017-01-21|19:56:50.000,5890.24756,-4.60168,125.7214,60.22217
2017-01-21|19:57:00.000,5874.75293,-4.57903,125.71674,60.27048
2017-01-21|19:57:10.000,5896.38281,-4.57138,125.71207,60.27882
2017-01-21|19:57:20.000,5922.85547,-4.59153,125.71343,60.32788
2017-01-21|19:57:30.000,5938.1333,-4.54661,125.73064,60.4082
2017-01-21|19:57:40.000,5935.49023,-4.59841,125.6917,60.42098
2017-01-21|19:57:50.000,5932.84717,-4.60408,125.68673,60.41511
2017-01-21|19:58:00.000,5930.2041,-4.615,125.69479,60.41114
2017-01-21|19:58:10.000,5933.83398,-4.56907,125.70285,60.43552
2017-01-21|19:58:20.000,5965.22949,-4.57117,125.67744,60.45743
2017-01-21|19:58:30.000,5982.11523,-4.58975,125.65701,60.48523
2017-01-21|19:58:40.000,5841.39404,-4.60354,125.65744,60.50402
2017-01-21|19:58:50.000,5854.50488,-4.60743,125.66688,60.51471
2017-01-21|19:59:00.000,5888.48975,-4.58593,125.6391,60.52633
2017-01-21|19:59:10.000,5922.99219,-4.56926,125.64176,60.54911
2017-01-21|19:59:20.000,5928.11279,-4.59829,125.64091,60.592
2017-01-21|19:59:30.000,5912.30371,-4.62704,125.62643,60.60273
2017-01-21|19:59:40.000,5895.58008,-4.62104,125.62078,60.61168
2017-01-21|19:59:50.000,5868.86426,-4.62435,125.61513,60.62986
2017-01-21|20:00:00.000,5842.14844,-4.61118,125.60947,60.64821
2017-01-21|20:00:10.000,5929.04639,-4.62584,125.60382,60.66568
2017-01-21|20:00:20.000,5913.89746,-4.63624,125.60517,60.67516
2017-01-21|20:00:30.000,5844.65234,-4.62866,125.60984,60.68465
2017-01-21|20:00:40.000,5903.146,-4.58537,125.60703,60.69766
2017-01-21|20:00:50.000,5915.87939,-4.60433,125.59608,60.75811
2017-01-21|20:01:00.000,5906.46387,-4.61601,125.57711,60.76053
2017-01-21|20:01:10.000,5902.5542,-4.61152,125.59515,60.76336
2017-01-21|20:01:20.000,5923.14307,-4.62126,125.5871,60.76619
2017-01-21|20:01:30.000,5939.02637,-4.61635,125.57906,60.77228
2017-01-21|20:01:40.000,5933.95752,-4.59984,125.59798,60.78856
2017-01-21|20:01:50.000,5928.88916,-4.6074,125.57902,60.80576
2017-01-21|20:02:00.000,5897.46436,-4.61818,125.59409,60.83323
2017-01-21|20:02:10.000,5853.82422,-4.63394,125.55595,60.83333
2017-01-21|20:02:20.000,5839.89893,-4.63561,125.56548,60.81902
2017-01-21|20:02:30.000,5958.45801,-4.62028,125.55276,60.85103
2017-01-21|20:02:40.000,5956.94824,-4.60685,125.52965,60.86673
2017-01-21|20:02:50.000,5932.32227,-4.62868,125.54354,60.88328
2017-01-21|20:03:00.000,5902.52148,-4.63705,125.53371,60.90915
2017-01-21|20:03:10.000,5905.94922,-4.63952,125.52387,60.91331
2017-01-21|20:03:20.000,5933.14355,-4.62881,125.54253,60.9377
2017-01-21|20:03:30.000,5956.66357,-4.63721,125.50068,60.96157
2017-01-21|20:03:40.000,5939.53467,-4.61233,125.50488,60.97945
2017-01-21|20:03:50.000,5922.70361,-4.63263,125.5112,60.98794
2017-01-21|20:04:00.000,5909.16846,-4.62719,125.48742,61.01195
2017-01-21|20:04:10.000,5895.63281,-4.62929,125.47412,61.0256
2017-01-21|20:04:20.000,5887.38379,-4.57967,125.49075,61.04315
2017-01-21|20:04:30.000,5937.76953,-4.62622,125.4751,61.08222
2017-01-21|20:04:40.000,5988.15527,-4.63517,125.47589,61.08709
2017-01-21|20:04:50.000,5863.93359,-4.63657,125.46579,61.09195
2017-01-21|20:05:00.000,5898.83398,-4.61698,125.45595,61.12146
2017-01-21|20:05:10.000,5978.82324,-4.61344,125.44611,61.14034
2017-01-21|20:05:20.000,5830.47803,-4.63918,125.46002,61.1862
2017-01-21|20:05:30.000,5971.47314,-4.64645,125.44231,61.20509
2017-01-21|20:05:40.000,5968.43311,-4.64801,125.44805,61.1859
2017-01-21|20:05:50.000,5953.44238,-4.63846,125.43472,61.19365
2017-01-21|20:06:00.000,5984.52051,-4.63735,125.44141,61.21108
2017-01-21|20:06:10.000,6015.59814,-4.61923,125.4257,61.24648
2017-01-21|20:06:20.000,5882.66943,-4.63851,125.42672,61.26912
2017-01-21|20:06:30.000,5893.80518,-4.65526,125.41121,61.27903
2017-01-21|20:06:40.000,5904.15674,-4.62445,125.40012,61.28893
2017-01-21|20:06:50.000,5858.6123,-4.60521,125.38903,61.33144
2017-01-21|20:07:00.000,5858.63721,-4.61835,125.39123,61.40098
2017-01-21|20:07:10.000,5891.39063,-4.61642,125.39983,61.45697
2017-01-21|20:07:20.000,5924.48828,-4.62201,125.37679,61.47924
2017-01-21|20:07:30.000,5957.59229,-4.6101,125.40819,61.50639
2017-01-21|20:07:40.000,5950.62158,-4.62976,125.40044,61.54261
2017-01-21|20:07:50.000,5900.54785,-4.64239,125.39005,61.59053
2017-01-21|20:08:00.000,5875.88818,-4.61297,125.3816,61.62178
2017-01-21|20:08:10.000,5916.03076,-4.63075,125.37676,61.67641
2017-01-21|20:08:20.000,5958.12305,-4.62352,125.36598,61.74094
2017-01-21|20:08:30.000,6001.12598,-4.6343,125.38641,61.70022
2017-01-21|20:08:40.000,5963.54492,-4.6413,125.37801,61.73444
2017-01-21|20:08:50.000,5888.30273,-4.62351,125.34099,61.75416
2017-01-21|20:09:00.000,5929.95605,-4.64913,125.35503,61.76497
2017-01-21|20:09:10.000,5939.68799,-4.63165,125.33606,61.74923
2017-01-21|20:09:20.000,5894.07178,-4.64375,125.3465,61.76818
2017-01-21|20:09:30.000,5853.58252,-4.62966,125.34099,61.79123
2017-01-21|20:09:40.000,5836.24365,-4.65309,125.34401,61.82367
2017-01-21|20:09:50.000,5894.89648,-4.62896,125.34807,61.80634
2017-01-21|20:10:00.000,5923.09912,-4.64883,125.33262,61.78988
2017-01-21|20:10:10.000,5932.25684,-4.67302,125.3273,61.79631
2017-01-21|20:10:20.000,5946.30566,-4.6302,125.32198,61.81946
2017-01-21|20:10:30.000,5963.88086,-4.62875,125.31667,61.82402
2017-01-21|20:10:40.000,5981.45605,-4.66919,125.31134,61.81908
2017-01-21|20:10:50.000,5952.17139,-4.6663,125.31393,61.79012
2017-01-21|20:11:00.000,5889.0918,-4.63872,125.32368,61.79623
2017-01-21|20:11:10.000,5935.74707,-4.6587,125.30746,61.77809
2017-01-21|20:11:20.000,5947.86963,-4.65016,125.28702,61.76095
2017-01-21|20:11:30.000,5900.36621,-4.66226,125.32866,61.76264
2017-01-21|20:11:40.000,5852.86279,-4.67091,125.28339,61.75304
2017-01-21|20:11:50.000,5906.82568,-4.65585,125.2894,61.74343
2017-01-21|20:12:00.000,5905.1875,-4.62165,125.32143,61.77928
2017-01-21|20:12:10.000,5871.00537,-4.6301,125.27389,61.78553
2017-01-21|20:12:20.000,5851.42285,-4.65725,125.26281,61.78472
2017-01-21|20:12:30.000,5963.02393,-4.64716,125.27184,61.79831
2017-01-21|20:12:40.000,5983.35791,-4.66707,125.23645,61.77189
2017-01-21|20:12:50.000,6003.69238,-4.659,125.22486,61.76123
2017-01-21|20:13:00.000,5963.03467,-4.63582,125.21822,61.78123
2017-01-21|20:13:10.000,5908.96973,-4.63026,125.21159,61.77302
2017-01-21|20:13:20.000,5897.92236,-4.65927,125.20494,61.75765
2017-01-21|20:13:30.000,5886.875,-4.65575,125.21778,61.76135
2017-01-21|20:13:40.000,5935.92529,-4.69195,125.21965,61.75916
2017-01-21|20:13:50.000,5954.71094,-4.66014,125.20345,61.7679
2017-01-21|20:14:00.000,5922.15869,-4.64961,125.20813,61.76085
2017-01-21|20:14:10.000,5889.60693,-4.65968,125.188,61.73564
2017-01-21|20:14:20.000,5931.28564,-4.657,125.19927,61.7251
2017-01-21|20:14:30.000,5983.0874,-4.66842,125.17385,61.73814
2017-01-21|20:14:40.000,5961.08447,-4.6644,125.15496,61.74561
2017-01-21|20:14:50.000,5934.1582,-4.64671,125.1592,61.75424
2017-01-21|20:15:00.000,5966.53223,-4.65273,125.15615,61.7193
2017-01-21|20:15:10.000,5998.90576,-4.6691,125.14169,61.69515
2017-01-21|20:15:20.000,5983.87793,-4.66825,125.13147,61.70996
2017-01-21|20:15:30.000,5934.49609,-4.65364,125.147,61.70712
2017-01-21|20:15:40.000,5950.56006,-4.64086,125.14624,61.72425
2017-01-21|20:15:50.000,6014.07422,-4.67762,125.12727,61.70481
2017-01-21|20:16:00.000,5923.6626,-4.66927,125.14284,61.696
2017-01-21|20:16:10.000,5971.15381,-4.64868,125.12116,61.68719
2017-01-21|20:16:20.000,6001.36914,-4.64766,125.09698,61.67487
2017-01-21|20:16:30.000,5930.68457,-4.65927,125.11135,61.6638
2017-01-21|20:16:40.000,5944.17383,-4.65831,125.10177,61.65265
2017-01-21|20:16:50.000,5957.66309,-4.67636,125.11506,61.66007
2017-01-21|20:17:00.000,5922.0498,-4.67618,125.10256,61.64587
2017-01-21|20:17:10.000,5863.25488,-4.65225,125.11523,61.61625
2017-01-21|20:17:20.000,5895.03809,-4.65176,125.09454,61.59471
2017-01-21|20:17:30.000,5886.35059,-4.63924,125.08755,61.58662
2017-01-21|20:17:40.000,5847.54785,-4.67457,125.08056,61.56764
2017-01-21|20:17:50.000,5844.5127,-4.685,125.07357,61.55682
2017-01-21|20:18:00.000,6005.41602,-4.66523,125.07179,61.54986
2017-01-21|20:18:10.000,5952.34473,-4.67743,125.09593,61.52602
2017-01-21|20:18:20.000,5964.78174,-4.63466,125.07363,61.51167
2017-01-21|20:18:30.000,5997.1167,-4.65333,125.08691,61.48322
2017-01-21|20:18:40.000,5958.20996,-4.67083,125.06201,61.43896
2017-01-21|20:18:50.000,5885.6084,-4.65067,125.04449,61.46728
2017-01-21|20:19:00.000,5916.52734,-4.65981,125.05524,61.39208
2017-01-21|20:19:10.000,5918.66406,-4.66513,125.03826,61.36876
2017-01-21|20:19:20.000,5891.2124,-4.66429,125.04147,61.34377
2017-01-21|20:19:30.000,5892.88916,-4.67577,125.0326,61.29631
2017-01-21|20:19:40.000,5942.375,-4.68293,125.0174,61.25237
2017-01-21|20:19:44.000,5962.16943,-4.67479,125.01275,61.23738
2017-01-21|20:19:54.000,5933.87451,-4.67131,125.00213,61.20397
2017-01-21|20:20:04.000,5868.72412,-4.6725,124.9915,61.15617
2017-01-21|20:20:14.000,5921.70264,-4.6574,125.00299,61.11106
2017-01-21|20:20:24.000,5960.3418,-4.70278,125.005,61.05066
2017-01-21|20:20:34.000,5919.42676,-4.66681,124.98112,61.01321
2017-01-21|20:20:44.000,5878.51172,-4.65951,124.98444,60.99916
2017-01-21|20:20:54.000,5883.05566,-4.65981,125.01532,60.97794
2017-01-21|20:21:04.000,5918.53271,-4.70677,125.00407,60.94652
2017-01-21|20:21:14.000,5967.12939,-4.67454,124.97546,60.91693
2017-01-21|20:21:24.000,5948.05615,-4.71355,124.97542,60.88867
2017-01-21|20:21:34.000,5855.11377,-4.6923,124.98329,60.86334
2017-01-21|20:21:44.000,5898.43213,-4.70031,124.96509,60.83992
2017-01-21|20:21:54.000,5946.38086,-4.69764,124.98409,60.7896
2017-01-21|20:22:04.000,5969.32227,-4.69731,124.98727,60.75347
2017-01-21|20:22:14.000,5985.11621,-4.72189,124.98029,60.69949
2017-01-21|20:22:24.000,5916.31299,-4.71178,124.95975,60.63692
2017-01-21|20:22:34.000,5865.00146,-4.69964,124.94953,60.60425
2017-01-21|20:22:44.000,5994.76074,-4.71785,124.93932,60.55668
2017-01-21|20:22:54.000,6002.98779,-4.71059,124.95439,60.53998
2017-01-21|20:23:04.000,6011.21533,-4.72489,124.95114,60.47279
2017-01-21|20:23:14.000,5957.09131,-4.72065,124.93448,60.43325
2017-01-21|20:23:24.000,5873.30078,-4.71955,124.92767,60.36863
2017-01-21|20:23:34.000,6009.13721,-4.69293,124.92086,60.34315
2017-01-21|20:23:44.000,5953.41602,-4.70796,124.91405,60.31547
2017-01-21|20:23:54.000,5916.24658,-4.70688,124.93585,60.25735
2017-01-21|20:24:04.000,5960.97852,-4.72177,124.92577,60.21215
2017-01-21|20:24:14.000,5972.67383,-4.68174,124.91422,60.20311
2017-01-21|20:24:24.000,5983.60498,-4.67056,124.89568,60.1787
2017-01-21|20:24:34.000,5968.05713,-4.69857,124.8987,60.15271
2017-01-21|20:24:44.000,5908.80713,-4.69602,124.90974,60.12925
2017-01-21|20:24:54.000,5926.43945,-4.71819,124.88287,60.07563
2017-01-21|20:25:04.000,5986.99707,-4.72526,124.86958,60.03878
2017-01-21|20:25:14.000,5913.61865,-4.73032,124.87781,60.00884
2017-01-21|20:25:24.000,5941.28906,-4.72219,124.86767,59.95027
2017-01-21|20:25:34.000,5964.38379,-4.69699,124.88243,59.92929
2017-01-21|20:25:44.000,5932.62598,-4.71653,124.86346,59.88007
2017-01-21|20:25:54.000,5900.86816,-4.6964,124.86024,59.84402
2017-01-21|20:26:04.000,5937.58301,-4.71724,124.86388,59.76453
2017-01-21|20:26:14.000,5975.91699,-4.71239,124.8747,59.69497
2017-01-21|20:26:24.000,5950.97607,-4.68746,124.86824,59.65137
2017-01-21|20:26:34.000,5924.53223,-4.70399,124.85939,59.59156
2017-01-21|20:26:44.000,5957.11963,-4.71078,124.84683,59.59893
2017-01-21|20:26:54.000,6033.03613,-4.67685,124.85629,59.55095
2017-01-21|20:27:04.000,5997.98633,-4.6945,124.83484,59.53835
2017-01-21|20:27:14.000,5951.21484,-4.71307,124.86671,59.49923
2017-01-21|20:27:24.000,5919.27539,-4.71089,124.84483,59.43426
2017-01-21|20:27:34.000,5891.09277,-4.68291,124.85629,59.44032
2017-01-21|20:27:44.000,5908.32617,-4.70713,124.83932,59.41059
2017-01-21|20:27:54.000,5935.74512,-4.67631,124.85197,59.39246
2017-01-21|20:28:04.000,5974.3584,-4.68067,124.82373,59.33168
2017-01-21|20:28:14.000,6012.97168,-4.70792,124.80895,59.30535
2017-01-21|20:28:24.000,6008.59326,-4.71539,124.81161,59.24681
2017-01-21|20:28:34.000,5998.14063,-4.72135,124.80508,59.22014
2017-01-21|20:28:44.000,5987.68799,-4.68937,124.81139,59.19264
2017-01-21|20:28:54.000,5977.23535,-4.69251,124.81877,59.14291
2017-01-21|20:29:04.000,5966.7832,-4.70754,124.82616,59.11942
2017-01-21|20:29:14.000,5933.47705,-4.68866,124.81335,59.07844
2017-01-21|20:29:24.000,5899.60889,-4.68527,124.80161,59.06813
2017-01-21|20:29:34.000,5895.94092,-4.68637,124.7948,59.05688
2017-01-21|20:29:44.000,5925.53174,-4.66413,124.78799,59.02951
2017-01-21|20:29:54.000,5948.63965,-4.71063,124.78118,58.99841
2017-01-21|20:30:04.000,5969.87402,-4.70571,124.79566,58.95768
2017-01-21|20:30:14.000,5981.7334,-4.68684,124.79129,58.95666
2017-01-21|20:30:24.000,5967.47656,-4.65105,124.80094,58.96951
2017-01-21|20:30:34.000,5935.09082,-4.70036,124.78664,58.92535
2017-01-21|20:30:44.000,5902.70508,-4.68623,124.79915,58.87688
2017-01-21|20:30:54.000,5931.29346,-4.67845,124.75768,58.85519
2017-01-21|20:31:04.000,6027.11328,-4.66324,124.75656,58.88066
2017-01-21|20:31:14.000,5950.104,-4.65905,124.75249,58.89324
2017-01-21|20:31:24.000,5945.48682,-4.67427,124.77145,58.86209
2017-01-21|20:31:34.000,6012.42578,-4.67748,124.77631,58.84274
2017-01-21|20:31:44.000,6010.26611,-4.67602,124.74551,58.8092
2017-01-21|20:31:54.000,5975.1665,-4.66506,124.73917,58.80554
2017-01-21|20:32:04.000,5940.53955,-4.65337,124.73284,58.78165
2017-01-21|20:32:14.000,5910.94189,-4.65723,124.72651,58.79128
2017-01-21|20:32:24.000,5905.02148,-4.67933,124.74551,58.77456
2017-01-21|20:32:34.000,5899.10059,-4.67302,124.73073,58.7426
2017-01-21|20:32:44.000,5889.21631,-4.67933,124.72944,58.74389
2017-01-21|20:32:54.000,5872.729,-4.6659,124.72667,58.7328
2017-01-21|20:33:04.000,5856.2417,-4.65386,124.72694,58.75
2017-01-21|20:33:14.000,5963.81152,-4.68942,124.73277,58.73134
2017-01-21|20:33:24.000,5976.40039,-4.66254,124.7297,58.72579
2017-01-21|20:33:34.000,5934.69141,-4.70046,124.7437,58.70301
2017-01-21|20:33:44.000,5923.63477,-4.68671,124.72579,58.68488
2017-01-21|20:33:54.000,5946.48389,-4.65749,124.73444,58.67513
2017-01-21|20:34:04.000,5965.87451,-4.66761,124.73276,58.66941
2017-01-21|20:34:14.000,5981.4375,-4.67381,124.72783,58.64955
2017-01-21|20:34:24.000,5997,-4.68564,124.73279,58.61527
2017-01-21|20:34:34.000,5903.27295,-4.66349,124.74771,58.6301
2017-01-21|20:34:44.000,5885.09473,-4.64986,124.73718,58.63646
2017-01-21|20:34:54.000,5986.18555,-4.65831,124.73357,58.62474
2017-01-21|20:35:04.000,5942.27393,-4.65662,124.73002,58.63904
2017-01-21|20:35:14.000,5921.29688,-4.68107,124.71645,58.62447
2017-01-21|20:35:24.000,5938.64258,-4.65249,124.70729,58.6161
2017-01-21|20:35:34.000,5955.98877,-4.62764,124.69814,58.64445
2017-01-21|20:35:44.000,5975.68701,-4.65412,124.71961,58.6683
2017-01-21|20:35:54.000,5995.72363,-4.68239,124.71408,58.63882
2017-01-21|20:36:04.000,5971.29785,-4.65602,124.70855,58.66851
2017-01-21|20:36:14.000,5940.8374,-4.65527,124.70303,58.67612
2017-01-21|20:36:24.000,5914.91553,-4.62807,124.70446,58.69876
2017-01-21|20:36:34.000,5888.99365,-4.6615,124.71314,58.71241
2017-01-21|20:36:44.000,5902.88086,-4.67923,124.67365,58.72519
2017-01-21|20:36:54.000,5936.02295,-4.68054,124.68887,58.7281
2017-01-21|20:37:04.000,5920.41162,-4.65896,124.71983,58.75414
2017-01-21|20:37:14.000,5868.60303,-4.6464,124.70485,58.79369
2017-01-21|20:37:24.000,5852.96387,-4.64561,124.70907,58.78358
2017-01-21|20:37:34.000,5963.43018,-4.65799,124.7095,58.84742
2017-01-21|20:37:44.000,5952.33203,-4.64025,124.72277,58.87643
2017-01-21|20:37:54.000,5938.86279,-4.68266,124.70126,58.91193
2017-01-21|20:38:04.000,5914.11328,-4.67725,124.70908,58.92434
2017-01-21|20:38:14.000,5900.7583,-4.65309,124.72054,58.95673
2017-01-21|20:38:24.000,5941.64307,-4.6538,124.71933,58.95708
2017-01-21|20:38:34.000,5977.27393,-4.67424,124.71957,59.00921
2017-01-21|20:38:44.000,5946.67578,-4.68453,124.67235,59.03573
2017-01-21|20:38:54.000,5916.07764,-4.67902,124.68858,59.07631
2017-01-21|20:39:04.000,5927.26416,-4.64797,124.68285,59.09738
2017-01-21|20:39:14.000,5984.93115,-4.64208,124.69554,59.12519
2017-01-21|20:39:24.000,5893.51953,-4.64315,124.6911,59.17948
2017-01-21|20:39:34.000,5892.04297,-4.67202,124.68411,59.17215
2017-01-21|20:39:44.000,5944.7251,-4.67477,124.67712,59.231
2017-01-21|20:39:54.000,5932.86621,-4.64026,124.68667,59.27007
2017-01-21|20:40:04.000,5889.66211,-4.65899,124.72366,59.29718
2017-01-21|20:40:14.000,5897.06152,-4.6565,124.67377,59.3275
